pid	track	assay	arm	level	usable	depth_reads	depth_log2	read_length	run_type_pe	dedup_on	mapq_thresh	has_control	control_fraction	ratio_k	ctl_identity	control_reads	control_depth_log2	extsize_k	fraglen_bp	src_depth	src_read_length	src_run_type	src_dedup	src_mapq	src_control_fraction	src_ratio_k	src_ctl_identity	src_control_depth	src_extsize_k	src_fraglen
C07M20__abproxy__f0.5	C07M20	H3K4me1	abproxy	f0.5	1	30000000	24.838459164932694	101	0	1	30	1	0.5	1.0	matched	160028104	27.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	manifest:knob_value (control_read_fraction)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__abproxy__f0.9	C07M20	H3K4me1	abproxy	f0.9	1	30000000	24.838459164932694	101	0	1	30	1	0.9	1.0	matched	160028104	27.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	manifest:knob_value (control_read_fraction)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__base__base	C07M20	H3K4me1	base	base	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__crop__36	C07M20	H3K4me1	crop	36	1	30000000	24.838459164932694	36	0	1	30	1	0.0	1.0	matched	143818699	27.099676023198437	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__crop__50	C07M20	H3K4me1	crop	50	1	30000000	24.838459164932694	50	0	1	30	1	0.0	1.0	matched	153412666	27.19284235811338	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__ctldepth__q0.25	C07M20	H3K4me1	ctldepth	q0.25	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	40007026	25.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__ctldepth__q0.5	C07M20	H3K4me1	ctldepth	q0.5	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	80014052	26.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__ctlid__none	C07M20	H3K4me1	ctlid	none	1	30000000	24.838459164932694	101	0	1	30	0	0.0	0.0	none	0	0.0	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	none: no control	none: no control	none: no control	none: no control	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__ctlid__other	C07M20	H3K4me1	ctlid	other	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	other	107039349	26.673566005925892	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__dedup__off	C07M20	H3K4me1	dedup	off	1	30000000	24.838459164932694	101	0	0	30	1	0.0	1.0	matched	200843119	27.581493793772644	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	manifest:knob_value (chip.no_dup_removal)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
